,wallet_access_status_Yes,pii_handling_status_Yes,spending_limits,SLOC,LLOC,CLOC,NF,WMC,NL,NLE,NUMPAR,NOS,DIT,NOA,NOD,CBO,NA,NOI,Avg_McCC,Avg_NL,Avg_NLE,Avg_NUMPAR,Avg_NOS,Avg_NOI
learn_near_comments_agent1,12.898591322246938,8.355629331942183,-16.774984295000323,0.9508386807097122,-1.3520858682645485,0.081328839501366,-0.2130922843096777,-0.6671765386778862,-0.3655148148536682,0.1832023414038121,-0.511713699013926,0.1886771349143237,0.0593304855888709,0.1262342042569071,0.2170775016956031,-0.4777322245307732,-0.1524083335604518,0.0879545710841193,0.021527893426828,-0.1419213690317701,-0.0429889495577663,-0.3304052917635999,0.0397517902078107,-0.093541930320207
learn_near_agent2,-13.154703641971572,-11.53547264734283,-19.065857617985458,-0.607791655024048,1.018099456159398,-1.1834309332165869,0.0611292587593197,0.1169131007418036,0.0094005735311657,-0.3538798675686121,-0.4875910951104015,0.5011754853650927,0.10078098814236,0.0439272415824234,-0.4797143695736304,-0.1514196028828155,-0.0685703554376959,-0.6369525161152706,-0.4374504635157064,0.4922772698267363,-0.0382348737947177,-0.8304454925656318,0.7492905165674165,0.6967262283805757
nearvember-mint-agent3,12.725843775952235,8.51619871423347,16.130435325098222,0.797634591117967,1.0742848295811565,-0.5511159390211106,0.0602828684728592,0.0448295629257336,0.1013242783490568,0.0779423503857106,0.3967985647288151,0.4694229456828907,0.1025429587438702,-0.0799366335477679,-0.0376369080599397,-0.0498739174008369,0.2587746004806831,0.1019617593334987,-0.4643798049096949,0.5679654865909833,0.4366808806825429,0.5263711861800402,-0.4532730808458291,-0.4079515442112461
first_near_agent3,13.020190429883078,-10.901614432055505,-17.505476473905148,0.0453137707244604,-0.2818188524339348,0.1013544326415285,-0.0267903278209269,-0.1596177140064537,-0.1758967124344781,-0.1454771921411156,0.1789308281056583,0.2827877316903323,0.186356161176227,-0.0085970687307417,-0.4298717566765845,-0.0067911738157272,-0.4440849004685879,0.5658713570749387,-0.5707096632709727,-0.2401708104345016,0.0054255369678139,0.0238725026184692,-0.3973740259301849,0.5806516318139621
memecoin_agent4,-13.430838087918238,-11.172547114845363,15.102914011958056,0.0520999744511209,-0.3338882366474718,-1.4761098086601123,-0.1085916315158829,-1.1156944243609903,-0.1046622474165633,-0.0943239372596144,0.1947688728803768,0.2710989176598377,0.0869366763252764,-0.1914306428283453,-0.0951875371637288,-0.2179400390549563,0.1089734584465623,-0.2565462204813957,-0.7231417452730239,0.0090557548496872,-0.1975633238721638,-1.5998472973785829,-1.183362610898912,-0.261483678673394
ui-agent4,-12.908989203944802,-11.552486734669657,-17.061363704639952,-0.2068956363853067,0.4917593925725668,0.5449514307267964,0.0237575616687536,0.4131742653530091,0.266764361760579,-0.2356072215549647,-0.4361176640237681,-0.2530910878255963,0.0762457461096346,0.0621610493212938,0.0355897390469908,0.2723062719590962,0.4228979178378358,0.1013187504466623,-0.0982541227480396,0.9029104178538546,-0.2584244158957153,1.32541366499383,1.3277055327920244,0.5193906591203995
xela-agent5,-13.32882590951398,8.233920676019043,15.753557251023594,-0.3749945791822393,-0.1552285420335829,-0.0686539080413058,-0.6153777801105753,-0.2609828254347667,-0.0412318644346669,-0.2325307139474898,0.3305158116202801,0.2816402377933263,-0.0608705323003232,-0.066827012617141,0.1122958138212561,0.3416463021817617,-0.2204669415857643,0.3103640866954811,0.0223091686191037,0.3400453367165755,0.1898071335023269,-0.6843248860398308,-0.5397168214758858,-0.0593153556482866
assistant6,-12.835773903746158,8.081261847540736,16.016437684926203,0.45367802532739,0.7965948458597996,0.1935337492730468,0.4629199597868137,0.5966309206653386,0.2120484072086401,-0.2393711590347811,0.6365907129552215,0.3205284912744537,0.2151645397488027,0.1152676683850586,0.851213556586299,-0.2518557974195573,-0.2031204458419233,-0.1745933697023429,-0.1170855527371168,0.5894085021014326,-0.4574261475820094,1.267098153717816,0.8082563812611625,1.8837352490366903
vector-store-example6,12.755701128655346,8.50038292893907,15.494675456094557,-0.0287200115201994,0.2837263619806617,-0.2272061950759962,1.2333982254192233,-1.367042473112233,0.1679750199103727,0.0114107993664219,0.1193367648555431,1.397251522175502,-0.0851937200408428,0.0985757732484489,0.395475332934875,-0.0304044322646223,-0.3397705107694492,-0.074217327653896,-0.0372185386158525,0.1230041690182406,-0.1055889077158644,0.1936105404375121,-0.5985707798250951,0.570212830430828
pm-agent7,12.856200897926463,-10.61677122183144,-15.97728345683776,0.380462115239352,-0.5294798570871353,0.0109683104185387,-0.2105338107643183,-0.8822438540868461,-0.1000362588069401,-0.2413448020815849,0.6363637909106911,0.1154853420518338,0.0685625322442501,-0.0093393958359956,-0.1518317339639179,-0.2236591926263645,0.594422610970214,0.3304756792681291,0.1837437031778972,-0.2047242887585889,0.3032795917149633,0.4403497513919137,-0.5658326002629473,0.1362913921847939
example-travel-agent8,-12.21608470423147,-10.634443043079226,16.2112696453603,-0.2851032548910007,0.4382887632376514,0.4676128226937726,0.6359372690413148,0.9956148984609172,0.1626522368844598,0.0730707340408116,2.3076940717641263,0.9794217899860814,-0.0088370843511074,0.4302848100848496,-0.1598821461922489,0.1188701190752908,0.3942435041628778,0.1827853332227096,-0.9684354414651172,-0.0389607489830814,0.0224643341079354,0.2749768463987857,0.0026356582879088,-0.04367486031726
agents-builder9,13.543444202886894,-11.517261410430072,15.838412166491617,-1.3860376483702566,0.075887123994762,0.0029052647855132,-0.059801325565204,0.2013783354964107,-0.5296173040708527,-0.550388891370967,0.1710482489690184,0.1197044015699066,-0.0400220226496458,0.1380809298157692,-0.3874994093971327,-0.3739825225016102,-0.1797439268231392,-0.4356755318539217,-0.5936720339092426,0.5402816975535825,-0.7886852458585054,0.1657184116751887,-0.181078143781051,0.1980400416767224
dataset-agent9,-12.83437023466453,-11.234397085066885,-18.428436158064287,-0.4525869095115922,0.7882623714301735,-0.3349546262435615,0.2229529274161905,0.3894924068590626,0.02209501265781,0.257143031656742,-0.4753563173627481,0.0048445719387382,0.0304739313200116,-0.0055183245707303,-0.1751800624467432,-0.0718046157015487,0.0564908441249281,-0.0033176156738772,0.1611265308735892,0.2719202950806357,-0.1082495582941919,0.1493170246435329,-0.0084207897540181,-0.417240481574554
getaiceo-article-writer9,14.460625491878018,9.540962584903465,16.233046743012963,2.614022438463289,-0.2449347563786432,-1.0625964115187525,-0.1843174184532836,-0.1106164143327623,-0.5759592267661355,-0.0790411067381501,-0.0804384323745034,0.2533447372959926,0.06174046295695,-0.008990556448698,-0.2166585765779018,0.213334996025078,0.1509801530931145,1.1184801212139428,0.482563739689067,0.3115530530014075,-0.4163224454596638,0.0107192874839529,-0.6259760959027335,-0.7400545113626867
chat1,-13.04160642473027,-11.092242797827348,-16.898504792754537,0.6743827075185255,-0.1662643871083855,-0.365407250188291,-0.0434562266757711,0.0208259824290871,-0.1820630770223215,-0.001868439335376,0.2219799788226373,0.561663403743878,0.0750798915885388,0.0931455810833722,0.388411433378933,0.0121319104928988,0.1890215635439381,0.3457266240520403,-0.098873676857911,-0.1786953664361499,-0.4842896583501715,-0.0459190400468651,0.4986900818278081,-0.1306105416547507
shopper11,13.360241567413322,-10.809486561922824,16.375075671868398,-1.1461485039652326,1.4855596301844345,-0.6084534096019343,-0.1525279584573581,-0.368700235877186,0.2172979857586324,-0.2196074321307242,-0.3059042670426424,-0.401762085724622,0.02055449007079,-0.0504468705691397,0.0891231737541966,-0.3099072777386755,-0.0203715995792299,0.0014505543559789,-0.090646056162659,-0.5101102021848782,-0.1345483372360467,-1.3275472135667223,-0.1719738852279261,-0.0655616561789065
